Id,Naslov,Opis,Cena,Kategorija
ID Oglasa: #161420245,Makaze za lim 250mm,,"{'file1': '450 din', 'file2': '500 din'}",
ID Oglasa: #161490456,Kantica/pumpica za ulje/uljna mazalica 300ml KMT tools,,,"{'file1': 'Automobili | Delovi i alati\n>\nAlati i oprema za autoservise', 'file2': 'Auto delovi i alati\n>\nAlati i oprema za autoservise'}"
ID Oglasa: #164089005,Ručna pumpa sifon za tečnost,,,"{'file1': 'Automobili | Oprema\n>\nObavezna oprema', 'file2': 'Auto oprema\n>\nObavezna oprema'}"
ID Oglasa: #165785633,Glava za trimer AUTOCUT M10x1.25,,"{'file1': '450 din', 'file2': '440 din'}",
ID Oglasa: #168226940,Autoosigurači set sa alatom za postavljanje 1A-30A,,,"{'file1': 'Automobili | Oprema\n>\nObavezna oprema', 'file2': 'Auto oprema\n>\nObavezna oprema'}"
ID Oglasa: #139265790,Set za reparaciju stakla,,,"{'file1': 'Automobili | Delovi i alati\n>\nAuto | Auto stakla', 'file2': 'Auto delovi i alati\n>\nAuto | Auto-stakla'}"
ID Oglasa: #147641499,Led radni far okrugli 42w 12v/24v,,,"{'file1': 'Automobili | Delovi i alati\n>\nAuto | Svetla i signalizacija', 'file2': 'Auto delovi i alati\n>\nAuto | Svetla i signalizacija'}"
ID Oglasa: #147641724,Led far radni 48w 12v/24v,,,"{'file1': 'Automobili | Delovi i alati\n>\nAuto | Svetla i signalizacija', 'file2': 'Auto delovi i alati\n>\nAuto | Svetla i signalizacija'}"
ID Oglasa: #146561655,Zaštitna maska vizir FULL FACE,"{'file1': 'Карактеристике: Свеобухватна заштита:  Као заштитни штит за мушкарце и жене, заштитни штитови за цело лице могу заштитити њихов нос, уста, лице и очи, и имају одређени штит за браду.   Карактеристике маске:  Заштитна маска за цело лице има прозирни ацетатни прозор против магле, који се може природно савијати како би се уклопио у контуру лица, обезбеђујући поуздану превенцију прскања, честица и прскања.  Такође пружа велико видно поље, које може повећати видно поље током рада. Једноставан за употребу: Сигурносна трака за главу и штитник за лице су потпуно састављени.   Безбедан материјал:  Ови штитници за цело лице су направљени од најлона и прозора од прозирног ацетата против магле.  Заштитите се и користите га за грађевинарство, производњу, нафту и гас, прераду метала итд.\n  Широко коришћен:  има широк спектар употреба, погодан за различите намене у индустријском и кућном окружењу, лаган је и удобан. Такође се може користити за бициклизам, салоне и спа професионалце, ресторане и складишта. Спецификација: Материјал: најлон + провидни ацетатни прозор против магле Величина:   Висина: 19 цм Горња ширина: 18 цм Ширина дна: 11 цм Траке: 20 цм\n            Боја: прозирна + црна Пакет укључује: 1 к заштитни штитови за цело лице  1 к траке\nID Oglasa: #146561655\nPrijavi', 'file2': 'Карактеристике: Свеобухватна заштита:  Као заштитни штит за мушкарце и жене, заштитни штитови за цело лице могу заштитити њихов нос, уста, лице и очи, и имају одређени штит за браду.   Карактеристике маске:  Заштитна маска за цело лице има прозирни ацетатни прозор против магле, који се може природно савијати како би се уклопио у контуру лица, обезбеђујући поуздану превенцију прскања, честица и прскања.  Такође пружа велико видно поље, које може повећати видно поље током рада. Једноставан за употребу: Сигурносна трака за главу и штитник за лице су потпуно састављени.   Безбедан материјал:  Ови штитници за цело лице су направљени од прозирног ацетата.  Заштитите се и користите га за грађевинарство, производњу, нафту и гас, прераду метала итд.\n  Широко коришћен:  има широк спектар употреба, погодан за различите намене у индустријском и кућном окружењу, лаган је и удобан. Такође се може користити за бициклизам, салоне и спа професионалце, ресторане и складишта. Спецификација: Материјал: провидни ацетатни прозор против магле Величина:   Висина: 19 цм Горња ширина: 18 цм Ширина дна: 11 цм Траке: 20 цм\n            Боја: прозирна + црна Пакет укључује: 1 к заштитни штитови за цело лице  1 к траке\nID Oglasa: #146561655\nPrijavi'}",,
ID Oglasa: #170077043,"DUNLOP silikonski držač za telefon za biciklu,motor 4""-6""","{'file1': ""silikonski rotirajući DUNLOP - crna\nPredstavljamo vam vrlo koristan gadget zahvaljujući kojem ćete moći koristiti GPS navigaciju i hands-free pozive na svom pametnom telefonu dok vozite bicikl.\nSilikonska ručka odgovara svim upravljačima i izuzetno je jednostavna za ugradnju (nisu potrebni vijci ili alati).\nMeke silikonske ručice neće ogrebati uređaj i pružaju čvrsto i čvrsto držanje tako da ne morate brinuti da ćete izgubiti uređaj tokom vožnje.\nMaterijal:  visokokvalitetni silikon (vrlo izdržljiv, rastezljiv sa memorijom oblika)\nKompatibilan sa većinom pametnih telefona od 4,0' - 6,0'\nZa svaku veličinu upravljača (podesiva stezaljka)\nRotacija za 360 stepeni za maksimalnu udobnost\nNeklizajuća gumena ručka osigurava maksimalnu zaštitu\nOtporan na udarce\nBoja:  crna\nID Oglasa: #170077043\nPrijavi"", 'file2': ""silikonski rotirajući DUNLOP - crna\nPredstavljamo vam vrlo koristan gadget zahvaljujući kojem ćete moći koristiti GPS navigaciju i hands-free pozive na svom pametnom telefonu dok vozite bicikl.\nSilikonska ručka odgovara svim upravljačima i izuzetno je jednostavna za ugradnju (nisu potrebni vijci ili alati).\nMeke silikonske ručice neće ogrebati uređaj i pružaju čvrsto i čvrsto držanje tako da ne morate brinuti da ćete izgubiti uređaj tokom vožnje.\nMaterijal:  visokokvalitetni silikon (vrlo izdržljiv, rastezljiv sa memorijom oblika)\nKompatibilan sa većinom pametnih telefona od 4,0' - 6,0'(10-15cm)\nZa svaku veličinu upravljača (podesiva stezaljka)\nRotacija za 360 stepeni za maksimalnu udobnost\nNeklizajuća gumena ručka osigurava maksimalnu zaštitu\nOtporan na udarce\nBoja:  crna\nID Oglasa: #170077043\nPrijavi""}",,
